Starter,Receptor,Relationship
LPS,MD-2,activation
MD-2,TLR4,activation
TLR4,IRAK-4,activation
IRAK-4,IRAK-1,activation
IRAK-1,IRAK-2,activation
IRAK-1,TOLLIP,activation
IRAK-2,FAADD,activation
FAADD,Caspase-8,activation
Caspase-8,Apoptosis,activation
IRAK-1,Ubc13,activation
Ubc13,TRAF6,activation
TRAF6,ECSIT,activation
ECSIT,IKKγ,activation
IKKγ,IKKβ,activation
IKKγ,IKKα,activation
IKKα,P65/RELA,activation
IKKβ,P65/RELA,activation
P65/RELA,NF-κB,activation
NF-κB,transcription factors,activation
TRAF6,TAB1,activation
TAB1,TAK1,activation
TAK1,MKK4/7,activation
MKK4/7,JNK,activation
JNK,IL-6,activation
JNK,TNF-α,activation
JNK,IL-8,activation
JNK,IL-1β,activation
JNK,IL-23,activation
