Starter,Receptor,Relationship
RA,Gαq,activation
Gαq,GTPases,activation
GTPases,p38MAPK,activation
p38MAPK,MSK1,activation
RA,RARα,activation
RARα,PI3K,activation
PI3K,ERK1/2,activation
ERK1/2,MSK1,activation
ERK1/2,?,activation
RA,RARγ,activation
RARγ,Src,activation
Src,ERK1/2,activation
RA,Gαs,activation
Gαs,Adenylyl cyclase,activation
Adenylyl cyclase,ATP,activation
ATP,cAMP,activation
cAMP,PKA,activation
MSK1,HAT/SMCC complex,activation
PKA,HAT/SMCC complex,activation
HAT/SMCC complex,Pol II,activation
Pol II,gene transcription,activation
RARα,HDAC/N-CoR,activation
HDAC/N-CoR,HAT/SMCC complex,inhibition
